ap ,id    ,date    ,hjd          ,ra       ,dec      ,v     ,bv    ,teff  ,feh   ,feh_err,logg  ,logg_err,vsini ,vsini_err,rv        ,rve    ,fwhm      ,ccph  ,instr 
192,100012,20081123,2454793.80209,5.87202,32.719711,16.076,0.802,5984,-0.14,0.049,4.371,0.098,9.52,0.08,8.708,0.6,14.01,0.8342,chelle
31,100012,20090107,2454838.62195,88.080299,32.719707,16.076,0.802,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.4278,1.076,29.36,0.77,hydraN
99,100012,20090213,2454875.74666,88.080299,32.719707,16.076,0.802,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.6424,1.81,39.87,0.74,hydraN
24,100012,20091227,2455192.81748,88.080299,32.719707,16.076,0.802,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.0424,1.098,38.72,0.84,hydraN
31,100012,20140111,2456668.6731,88.080299,32.719707,16.076,0.802,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.517,0.847,37.5,0.84,hydraN
23,100014,20071221,2454455.69525,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.1995,2.1,37.85,0.63,hydraN
23,100014,20080130,2454495.62534,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,192.1588,7.843,38.21,0.11,hydraN
26,100014,20080201,2454497.66736,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-6.8886,18.533,72.81,0.06,hydraN
109,100014,20080225,2454521.73659,5.878159,32.720837,16.272,0.836,5856,-0.155,0.048,4.303,0.103,6.75,0,9.199,0.739,11.38,0.7017,chelle
24,100014,20080320,2454545.62173,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.9969,2.506,36.24,0.62,hydraN
24,100014,20081012,2454751.98724,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.063,1.703,36.21,0.84,hydraN
193,100014,20081024,2454764.85411,5.878159,32.720837,16.272,0.836,5856,-0.105,0.048,4.397,0.093,9.17,0.09,9.003,0.417,14.13,0.899,chelle
193,100014,20081025,2454764.85411,5.878159,32.720837,16.272,0.836,5856,-0.105,0.048,4.397,0.093,9.17,0.09,9.016,0.417,14.13,0.899,chelle
202,100014,20081123,2454793.80209,5.878159,32.720837,16.272,0.836,5856,-0.124,0.049,4.402,0.097,9.47,0.02,9.135,0.687,14.17,0.8166,chelle
23,100014,20090211,2454873.86635,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.541,3.837,38.05,0.41,hydraN
74,100014,20090214,2454876.6958,5.878159,32.720837,16.272,0.836,5856,-0.078,0.045,4.35,0.094,9.22,0.02,9.035,0.387,14.155,0.9035,chelle
15,100014,20110223,2455615.65734,88.172379,32.72084,16.272,0.836,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.71,0.789,37.3,0.92,hydraN
110,100016,20080302,2454527.68799,5.878729,32.734005,16.452,0.986,5352,-0.118,0.058,4.277,0.134,-0.12,0.08,-15.25,0.425,11.17,0.8369,chelle
96,100016,20080322,2454547.62171,88.180931,32.734005,16.452,0.986,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-14.2691,1.96,31.79,0.55,hydraN
191,100016,20081023,2454762.86746,5.878729,32.734005,16.452,0.986,5352,-0.098,0.058,4.309,0.126,1.5,0,-16.164,0.334,11.6,0.8861,chelle
37,100016,20090116,2454847.69614,88.180931,32.734005,16.452,0.986,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-15.8562,0.353,20.09,0.72,hydraN
43,100016,20090312,2454902.74044,88.180931,32.734005,16.452,0.986,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-17.6214,5.763,36.61,0.21,hydraN
